CNN,Active,X,Y,GISObjectID,Latitude,Longitude,DateInsert,DateUpdate,streetname,cross_street
30731000,1,6012928.058,2116056.992,306759,37.79101664,-122.3991486,00:00.0,00:00.0,01ST ST,BUSH ST \ MARKET ST
24666000,1,6013086.288,2115891.559,303770,37.79057121,-122.3985895,00:00.0,00:00.0,01ST ST,STEVENSON ST
24564000,1,6013207.935,2115764.378,303698,37.79022878,-122.3981597,00:00.0,00:00.0,01ST ST,END
24530000,1,6013270.516,2115698.964,303674,37.79005265,-122.3979386,00:00.0,00:00.0,01ST ST,END
24563000,1,6013373.566,2115591.232,303697,37.78976258,-122.3975745,00:00.0,00:00.0,01ST ST,MISSION ST
54001000,1,6013459.783,2115501.096,309707,37.78951989,-122.3972698,00:00.0,00:00.0,01ST ST,END
24542000,1,6013526.306,2115431.549,303684,37.78933264,-122.3970348,00:00.0,00:00.0,01ST ST,MINNA ST
24534000,1,6013657.64,2115294.248,303677,37.78896295,-122.3965708,00:00.0,00:00.0,01ST ST,NATOMA ST
24532000,1,6013809.344,2115135.649,303675,37.78853592,-122.3960348,00:00.0,00:00.0,01ST ST,HOWARD ST
24528000,1,6013966.941,2114970.845,303672,37.78809217,-122.395478,00:00.0,00:00.0,01ST ST,TEHAMA ST
24526000,1,6014099.999,2114831.734,303670,37.7877176,-122.3950078,00:00.0,00:00.0,01ST ST,CLEMENTINA ST
24522000,1,6014249.04,2114675.972,303666,37.7872982,-122.3944813,00:00.0,00:00.0,01ST ST,FOLSOM ST
24500000,1,6014407.638,2114510.166,303648,37.78685175,-122.3939209,00:00.0,00:00.0,01ST ST,GUY PL
24499000,1,6014542.428,2114369.251,303647,37.78647232,-122.3934447,00:00.0,00:00.0,01ST ST,LANSING ST
24494000,1,6014686.231,2114218.913,303643,37.78606752,-122.3929367,00:00.0,00:00.0,01ST ST,HARRISON ST \ I-80 E ON RAMP
50034000,1,6014882.796,2114013.959,307753,37.78551568,-122.3922423,00:00.0,00:00.0,01ST ST,END
51403000,1,5995194.718,2115050.515,308855,37.78724891,-122.4604319,00:00.0,00:00.0,02ND AVE,END
27579000,1,5995199.799,2114910.857,306217,37.78686574,-122.4604042,00:00.0,00:00.0,02ND AVE,LAKE ST
27577000,1,5995217.4,2114427.119,306215,37.78553854,-122.4603082,00:00.0,00:00.0,02ND AVE,CALIFORNIA ST
27565000,1,5995224.505,2114233.115,306203,37.78500627,-122.4602696,00:00.0,00:00.0,02ND AVE,CORNWALL ST
27246000,1,5995248.5,2113551.631,305893,37.78313647,-122.4601372,00:00.0,00:00.0,02ND AVE,CLEMENT ST
27231000,1,5995273.575,2112850.742,305878,37.78121346,-122.4599997,00:00.0,00:00.0,02ND AVE,GEARY BLVD
27226000,1,5995299.097,2112146.99,305874,37.77928262,-122.4598604,00:00.0,00:00.0,02ND AVE,ANZA ST
27224000,1,5995324.137,2111471.685,305872,37.77742985,-122.4597248,00:00.0,00:00.0,02ND AVE,BALBOA ST
27212000,1,5995349.32,2110792.504,305861,37.77556645,-122.4595885,00:00.0,00:00.0,02ND AVE,CABRILLO ST
27210000,1,5995368.235,2110282.399,305859,37.77416692,-122.4594861,00:00.0,00:00.0,02ND AVE,FULTON ST
27181000,1,5995463.756,2107399.088,305834,37.76625559,-122.4589469,00:00.0,00:00.0,02ND AVE,LINCOLN WAY
27070000,1,5995475.684,2107052.379,305734,37.76530431,-122.4588805,00:00.0,00:00.0,02ND AVE,HUGO ST
27068000,1,5995487.451,2106710.345,305732,37.76436585,-122.4588151,00:00.0,00:00.0,02ND AVE,IRVING ST
30734000,1,6012271.747,2115432.127,306762,37.78926431,-122.4013755,00:00.0,00:00.0,02ND ST,MARKET ST
24618000,1,6012431.137,2115265.428,303743,37.78881548,-122.4008123,00:00.0,00:00.0,02ND ST,STEVENSON ST
24605000,1,6012563.716,2115126.768,303731,37.78844215,-122.4003439,00:00.0,00:00.0,02ND ST,JESSIE ST
24597000,1,6012718.195,2114965.204,303723,37.78800715,-122.399798,00:00.0,00:00.0,02ND ST,MISSION ST
24594000,1,6012871.906,2114806.25,303720,37.78757926,-122.399255,00:00.0,00:00.0,02ND ST,MINNA ST
24543000,1,6013003.603,2114666.707,303685,37.78720345,-122.3987896,00:00.0,00:00.0,02ND ST,NATOMA ST
24540000,1,6013154.355,2114509.042,303682,37.78677894,-122.398257,00:00.0,00:00.0,02ND ST,HOWARD ST
